Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
[DO NOT EAT] Campus Dining Crispy Cube Breakfast Potatoes (127g),,4 oz portion,0,"April 25, 2022 9:10 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Ingredients:Crispy Seasoned Cubed Hashbrown Potatoes(POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA, PALM, SOYBEAN, SUNFLOWER), ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, MODIFIED CORN STARCH, SPICES, CORN MEAL, GARLIC POWDER, ONION POWDER, LEAVENING (DISODIUM DIHYDROGEN PYROPHOSPHATE, SODIUM BICARBONATE), DRIED YEAST, OLEORESIN PAPRIKA, DEXTROSE POTATOES, VEGETABLE OIL BLEND (SUNFLOWER, COTTONSEED, SOYBEAN AND/OR CANOLA), SALT, YELLOW CORN FLOUR, DEXTROSE, SODIUM ACID PYROPHOSPHATE, DRIED ONION, SODIUM ACID SULFATE, NATURAL FLAVOR POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: SOYBEAN OIL, CANOLA OIL), SALT,DEXTROSE, SODIUM ACID PYROPHOSPHATE)",DO NOT GET - problematic ingredients,,,9,2,3,1,430,3,,,,,6,0.32,,,,27,0,,,,,,0,https://www.notion.so/78g-crispy-cubes-ad1b6397d7e946788a5b9e7f8549b58e,,,,,,,,,,,,,,"April 25, 2022 10:09 PM","April 25, 2022 10:17 PM",
Campus Dining Steamed Peas,vegetables,3 oz (86g) portion,0,"April 24, 2022 9:36 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,,https://www.notion.so/peas-60e37805c39d443ea93341bb4a219ec1,0,0,5,4,460,4,8,2,,,2.5,0.4,,,,12,,,10,,,,0,,,,,Fridge,,,,10.75,,,,,,"April 24, 2022 10:34 PM","December 13, 2022 5:12 AM",
Campus Dining Cavatappi Pasta,grains,5 oz (176g) portion,0,"April 24, 2022 1:47 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Pasta Cavatappi (Semolina (wheat), niacin, ferrous sulfate (iron), thiamin mononitrate, riboflavin, folic acid), water",,"Good PS Ratio (1.5 <= x < 3), has gluten - bad",https://www.notion.so/Penne-Pasta-cooked-bc4c16f3785c49a8ab8638e717f00173,1.5,0,,,105,6,8,0,,,N/A,2.63,,,,35,0,,0,,,,,https://www.notion.so/103-g-pasta-566dd62f2728476a8ba4557bdd08fb33,,,,,,,,,,,,,,"April 24, 2022 2:54 AM","October 5, 2022 8:32 PM",0.53
Campus Dining Gluten Free Penne Pasta (176g),grains,5 oz (176g) portion,0,"April 24, 2022 1:47 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),"Gluten Free Penne Pasta (Corn flour, rice flour, mono and diglycerides), water",,Good PS Ratio (1.5 <= x < 3),https://www.notion.so/Penne-Pasta-cooked-bc4c16f3785c49a8ab8638e717f00173,1.5,0,,,105,6,10,2,,,N/A,2.63,,,,36,0,,,,,,,"https://www.notion.so/117-g-pasta-de6a84c4ddf446669e87eec9254e1d0d, https://www.notion.so/153g-pasta-9a21728721df40b6b390772d571ca7fe",,,,,,,,,,,,,,"April 24, 2022 2:46 AM","April 25, 2022 10:31 PM",
Campus Dining Sauteed Spinach (3 oz 87g),,3 oz. (87g) portion,0,"April 24, 2022 1:41 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,Strength: Magnesium,,3,0,1,1,90,2,8,6,,,2,1.02,,,,5,,,15,,18.9,,,"https://www.notion.so/spinach-in-fridge-1-serving-be95b09ec38a4afdb25e621dce761bc3, https://www.notion.so/1-serving-spinach-7828a68d815043259977997dad4a60e8, https://www.notion.so/e7aba49dcd924dafbca0379dda419852, https://www.notion.so/1-serving-kale-chips-1-serving-spinach-or-kale-1-serving-mixed-veggies-9def471775f84287ac9902e2d9b7f8d2",,,,,,,,,,,,,,"April 24, 2022 2:40 AM","December 3, 2022 12:46 AM",
"Campus dining herbed mashed potatoes ",,"3 oz (90g) serving ",0,"April 23, 2022 9:55 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,,https://www.notion.so/Mashed-potatoes-671819479cfe4b58b2a8948ed797e168,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,"https://www.notion.so/1-serving-mashed-potatoes-ecaa2f40c3bc48128560aa64054511fb, https://www.notion.so/campus-dining-133g-diced-potatoes-placeholder-of-mashed-potatoes-used-84dacb07080f4131ba89c71e51bb5637, https://www.notion.so/2-servings-mashed-potatoes-c8378d7af9be4080a200cca0d4a250ae, https://www.notion.so/145g-mashed-potatoes-from-home-thanksgiving-using-placeholder-9e61c1a9413143ed9cb1a04cb2b1e3b6",,,,,,,,,,,,,,"April 23, 2022 10:55 PM","December 13, 2022 11:49 PM",5.48
Campus Dining quinoa - 3 oz portion  (90g),protein,3 oz portion (Conrad serving size: 4 oz portion (four 1-oz scoops)),0,"April 21, 2022 10:48 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,,"Staple, Strength: Magnesium, good source of vitamin A, high in phytic acid (phytates)",https://www.notion.so/quinoa-bb0881f0d8204bbdbb8514334f3e8d9b,5,0,2,1,75,2,8,2,,,4,1.23,,,,11,0,,0,0,14.35,,,https://www.notion.so/147g-quinoas-tabbouleh-3d95690ea13a4672b29e3f459dd1ff5d,,,,Fridge,,,,,,,,,,"April 21, 2022 11:47 PM","December 3, 2022 12:46 AM",
sargento Colby jack cheese stick,,1 stick,0,"June 3, 2022 2:45 AM (CDT)",Munchie (Vanderbilt Campus Dining),,"Used to be at munchie ","Accomodation Food, Food allergen, Staple, snacks",https://www.notion.so/cheese-stick-919c3c17bfbf4e1698821ee210386883,6,3,0,0,190,7,,,Sargento,,N/A,1.69,,,,1,0,1 stick,0,0,,,,,,,,,,,,,,,,,,"April 19, 2022 6:27 AM","December 16, 2022 10:11 PM",
Costco Organic Applesauce Pouch,fruits,"Pouches ",0,"December 13, 2022 3:56 PM (CST)",Costco,,,"Staple, snacks",https://www.notion.so/Applesauce-f0f82050844a41d293f959af0600d1fd,0,0,2,10,15,0,0,0,Kirkland Signature,,0.4,N/A,,,,14,0,24 pouch boxes,0,0,,,0,"https://www.notion.so/a963350bd1174090b11280bfd503e430, https://www.notion.so/1-applesauce-pouch-741560f5878b405ba51d62d0b488d5cd, https://www.notion.so/1-applesauce-pouch-f968ed93850b4fb98bd3bc1478f2ce30, https://www.notion.so/1-banana-2-applesauce-pouches-a5b9e5ba16504cbeb72975f5fbec70b9, https://www.notion.so/2-applesauce-pouches-87d6087fb4eb48ac85c01a1fbc46d88b, https://www.notion.so/2-applesauce-pouches-816ab6532c5b47b89a8973ed358cdd93, https://www.notion.so/1-applesauce-pouch-13ea29063d0f47139072da7bfd5670da, https://www.notion.so/2-applesauce-9addee1270ef47bcb502a974fb9813e1, https://www.notion.so/3-applesauce-1c737693c42343b1a5b41898d457e010, https://www.notion.so/1-applesauce-pouch-d644930f9baf45b383a1ce6f1f8fc5cd, https://www.notion.so/45g-applesauce-83256885638a498ca6bc0b6a466b3fb1, https://www.notion.so/2-pouches-applesauce-8277e4cfd6944c279c757db7115139cb, https://www.notion.so/1-applesauce-pouch-9d4e6bb562ce4bbda4ee03f2036bc242, https://www.notion.so/1-pouch-applesauce-492bb16fe4474938b1940cdecb85ada4, https://www.notion.so/1-applesauce-c20efe3fbaee47bb93210529e15561a9, https://www.notion.so/3-applesauce-481713e4f01c409a8de0173f901530d8",,$0.417,,,,,,,,,,,,"April 17, 2022 8:53 AM","December 13, 2022 4:56 PM",
Campus Dining Plain Greek Yogurt,,oz (1 fl. oz = 1.23 oz so 0.81 fl. oz = 1 oz),0,"June 6, 2022 7:23 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,8 fl. oz is 9.84 oz,,https://www.notion.so/yogurt-f78fc185ec43442fba6ca948b817a717,0,0,0,1,10,3,0,4,,,0,13.8,,,,1,,,0,0,,,0,"https://www.notion.so/90g-greek-yogurt-247103a61cc54825903f209259d0d456, https://www.notion.so/1-cup-greek-yogurt-431a97c95c2e43ca8afe94714ab7f2cf, https://www.notion.so/3-oz-greek-yogurt-d8d5a732669b4f0e861582fbdb8c6432, https://www.notion.so/3-oz-greek-yogurt-e8e998dd76f441b189df397efb67b7fe, https://www.notion.so/9640128effe8474e9652c6e131ac93f8, https://www.notion.so/1-serving-milk-4-serving-campus-dining-yogurt-2-cheese-sticks-664d86ce056042468b61c8d18db0013a",,,,,,,,,,,,,,"April 11, 2022 4:01 PM","June 6, 2022 8:23 PM",
Thrive Non-GMO Sardines in water - fish,protein,1 can (4.4 oz),0,"December 13, 2022 3:46 PM (CST)",Thrive Market,,,"Staple, Stellar PS Ratio (+3), Thrive Values: Keto, Thrive Values: Paleo, Thrive Values: Whole30, fish, low sodium protein",https://www.notion.so/Sardines-a55975d56aaf4f088dbdbaf7e91b9d70,8,1.5,0,0,240,17,10,25,Thrive Market,,N/A,3.26,,,,0,0,packs,0,50,,,0,"https://www.notion.so/1-serving-Sardines-7d6ea14ca1d24b16bc73f4c1633ff8ed, https://www.notion.so/1-sardines-can-43df2f3b8d75464d8c4fefbdf8b7fe2a, https://www.notion.so/1-thrive-sardines-21031eb5cf1141bbbef9c139ff77683e","($1.49 sale, $2.37 autoship, $2.49 regular, $3.29 retail) per can → 

($0.08765 sale, $0.139411 autoship, $0.14647 regular, $0.193529 retail) per gram of protein",,"Vitamin D (50%), vitamin B12 (x), Choline (x), iron (10%), lutein and zeaxanthin (x) (up to 6 mg recommended), Vitamin B2 (x), Vitamin B5 (x), Vitamin A (x), vitamin E (x), phosphorus (x), folate (x), iodine (x), selenium (x), zinc (x), potassium(4%), calcium (25%)",,,,,36.63,,,,,,"April 8, 2022 11:18 AM","December 13, 2022 4:47 PM",
Plantains - raw (179),,"90 g serving ",0,"April 7, 2022 8:41 PM (CDT)",,,,,,0.11,,1.5,13.45,3.6,1,7,0.5,,,0.22,12.78,,,,29,,,11.5,,7.125,1,,"https://www.notion.so/95-g-plantain-f4c62b07705941549c5fb2c5a1e4e130, https://www.notion.so/3ed5e5d8d0f8469ca7543919c6653a19",,,,,,,,,,,,,,"April 6, 2022 5:43 PM","December 3, 2022 1:21 AM",
Nigerian Puff puff (similar to Ghanian Bofrot),grains,puff puff (45g),0,"June 6, 2022 7:22 PM (CDT)",Vanderbilt African Student Union (ASU),,,,,1,1,1,17,118,4,,,,,0.12,1.56,,,,47,0,batch of 10 puff puff,,,,,,https://www.notion.so/90g-puff-puff-2-puff-puff-aaa3ee0f9ccf4faca0e52c77e914189d,,,,,,,,,,,,,,"April 6, 2022 5:12 PM","June 6, 2022 8:22 PM",
Campus Dining Oatmeal,,6 oz portion (169 g),0,,,,,,https://www.notion.so/Oatmeal-157589c46c1540f181da19a9735c8cf6,2,0,3,0,200,4,6,2,,,N/A,0.92,,,,18,0,,0,0,1.16,,0,"https://www.notion.so/oatmeal-about-120-g-maybe-3c7036b323054e3a92af66e0106c4537, https://www.notion.so/Campus-dining-oatmeal-2e7a4f6c6eae4dbab5449067b2026b1e, https://www.notion.so/Campus-dining-oatmeal-c16b16dca57842cabbbe9e24d6c24e61, https://www.notion.so/136-g-oatmeal-b31813d2ae9b475f8da3639f5d8b32da, https://www.notion.so/140-g-oatmeal-1bb97429860247ec96a3e651b66ac675, https://www.notion.so/157-g-oatmeal-29-g-water-af88f94787cf4397ae66a7afca11b4db, https://www.notion.so/1-serving-oatmeal-32ec8e8e62134c7e92a96c56a2f44b2a, https://www.notion.so/campus-dining-oatmeal-02b607126734485fbffd972a93d63b1a, https://www.notion.so/1-serving-oatmeal-18f305e92aaa454381316c826be3f838, https://www.notion.so/7aa02fd411e8492db48210ce63910aa5",,,,,,,,,,,,,,"April 2, 2022 3:49 PM","April 25, 2022 11:03 PM",
PopCorners - white cheddar,grains,oz (28 g),0,"June 8, 2022 5:12 AM (CDT)",GoPuff,,,"Poor FS Ratio (<0.8), Poor PS Ratio (<0.8), snacks",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,6,9.5,0,2,160,2,0.88,2,,,0,0.58,,,,19,,,,0,,,0,https://www.notion.so/31-g-popcorners-be616f1e38a244cfa1402359841de17a,,,,Pantry,,,,,,,,,,"April 2, 2022 12:28 AM","October 27, 2022 10:32 PM",2
Campus Dining - Roasted Broccoli (3 oz - 93g) - 1 cup,,3 oz portion (93 g),0,,Dining Hall (Vanderbilt Campus Dining),broccoli florettes,,"Poor PS Ratio (<0.8), Stellar FS Ratio (+3)",,1.5,0,3,1,310,2,4,4,,,6,0.3,,,,7,0,,70,,8.25,,0,"https://www.notion.so/broccoli-zeppos-4c618f477a804d8eb8af9e9bbcfe8154, https://www.notion.so/100g-broccoli-90208e3e3c79402ea02eed853f0f4686, https://www.notion.so/84g-broccoli-5d2c952341474c5ab8f728a6e0560d50, https://www.notion.so/6b8137b3bfc94e94b2f223271fc920cf, https://www.notion.so/2-broccoli-from-camp-kitchen-f92b8c800fff4fdab2ecca8065ea7b8f, https://www.notion.so/2-serving-broccoli-kissam-76edf9eda810400caa5d21943e82054f",,,,,,,,,,,,,,"April 1, 2022 3:33 PM","May 5, 2022 7:39 PM",
"Nuttzo chocolate keto crunch - Keto Nut & Seed Butter, Chocolate","protein, vegetables",2 tbsp - 33g (10 servings per jar),0,"April 1, 2022 2:04 PM (CDT)","Costco, Thrive Market, Walmart","Almonds, Dried Coconut, Dark Chocolate (Cacao Beans, Coconut Sugar, Cocoa Butter) Brazil Nuts, Pecans, Macadamia Nuts, Flax Seeds, Chia Seeds, Celtic Sea Salt",,"Stellar FS Ratio (+3), Stellar PS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Whole30, Thrive Values: Woman-Founded, Thrive values: vegetarian, great price per gram of protein, low sodium protein, nut butter and seed butter, omega-3, philanthropic company",https://www.notion.so/nut-and-seed-butters-ac4cbb7382df46a89549cb3b4a881bc1,15,5,3,1,25,5,10,4,Nuttzo,,6,9.2,,,,7,0,jars,0,0,,,0,"https://www.notion.so/2-4375-serving-78-g-serving-chocolate-nuttzo-b58b91b4358948f4838442c72a4a87ae, https://www.notion.so/2-serving-chocolate-nuttzo-849aa0dd723d4524a7f9374c23291c83","$10.34 per jar →
$0.86167 per serving → $0.1723 per gram of protein

30% extra off
x per jar →
x per serving → x per gram of protein",Thrive: $x (X retail) per C oz jar on normal day,,Pantry,,,,,,,,,,"April 1, 2022 3:04 PM","October 29, 2022 7:18 PM",
2301 bowl reg 1,"grains, protein, vegetables",bowl,0,"September 16, 2022 5:51 PM (CDT)",2301 (Vanderbilt Campus Dining),"1 oz cherry tomatoes (1 serving), 5 oz brown rice (1 serving), 1 oz sliced cucumber (1 serving), 1 oz sliced red onion (1 serving), 1 oz basil oil (1 serving), 1 oz kale (1 serving), 4 oz diced chicken (4 serving)",,"Good FS Ratio (1.5 <= x < 3), Stellar PS Ratio (+3)",https://www.notion.so/2301-stir-fry-bowl-8abfccad34124e32b27bbc5190324ea2,37,3.5,2.5,1.75,385,33,4,6,,,2.86,3.94,,,,39,0,bowl,14,0,,,0,https://www.notion.so/a-2301-bowl-reg-1-a3f22b2283ad4767acd66cde36f2e423,,,,,,,,,,,,,,"March 29, 2022 7:33 PM","October 6, 2022 2:03 AM",5
Woodstock frozen pineapple,fruits,13 pieces (139g),0,"March 24, 2022 11:29 PM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Fiber: soluble fiber, Poor FS Ratio (<0.8), Stellar PS Ratio (+3), organic",https://www.notion.so/Mangoes-frozen-or-fridge-21d68e53beb14e72a892b8700701c43f,0,0,2,14,0,1,2,2,,,0.29,N/A,,https://www.notion.so/Breakfast-oatmeal-v1-79606138f75540fb9da8c5094b0641ee,,18,0,bags,0,0,,,0,,,,,freezer,,,,,,,,,,"March 25, 2022 12:28 AM","December 15, 2022 2:58 PM",3.19
Flackers - Sea Salt Flax Seed Crackers (watered down),"grains, protein, vegetables",8 crackers (5 servings per bag),0,"March 24, 2022 10:50 PM (CDT)",Thrive Market,"Organic flaxseeds, organic apple cider vinegar, organic rosemary, sea salt, organic sage",,"Good PS Ratio (1.5 <= x < 3), Soaked/sprouted, Staple, Stellar FS Ratio (+3), Strength: Magnesium, Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: Woman-Founded, Thrive Values: gluten-free, Thrive values: vegan, Thrive values: vegetarian, easy to digest, snacks",,10,1,9,0,122,6,10,6,Doctor in the Kitchen,,N/A,2.26,,,,10,0,4.5 oz bags,0,0,35,,0,"https://www.notion.so/flackers-sea-salt-b30c6d3170724699aadda9dba4007cc0, https://www.notion.so/flackers-3aae7da14f6349efac12be4ce920b659, https://www.notion.so/0-5-serving-flackers-sea-salt-3e7227f3b12f458fbe95aa112d59bbd0, https://www.notion.so/0-5-cups-watered-down-flax-seed-and-sesame-seed-placeholder-31a9d810a5f5441eaeffa097203f45c1","regular
$4.99 per bag →
$1.00 per serving → $0.167 per gram of protein
",$1.25 per serving,,Pantry,,,,,,,,,,"March 25, 2022 12:27 AM","December 3, 2022 12:46 AM",2.64
Flackers - Sea Salt Flax Seed Crackers,"grains, protein, vegetables",8 crackers (5 servings per bag),0,"September 23, 2022 1:13 AM (CDT)",Thrive Market,"Organic flaxseeds, organic apple cider vinegar, organic rosemary, sea salt, organic sage",,"Good PS Ratio (1.5 <= x < 3), Soaked/sprouted, Staple, Stellar FS Ratio (+3), Strength: Magnesium, Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: Woman-Founded, Thrive Values: gluten-free, Thrive values: vegan, Thrive values: vegetarian, easy to digest, snacks",,10,1,9,0,160,6,10,6,Doctor in the Kitchen,,N/A,1.73,,,,10,0,4.5 oz bags,0,0,35,,0,"https://www.notion.so/flax-seeds-5oz-83d5b8f10deb4c098826f5ad101b477f, https://www.notion.so/15g-flackers-sea-salt-05997aa27b7d4175b77c4fdf96d92bfe, https://www.notion.so/1-serving-flackers-sea-salt-d15aee2053c84ccfbc87446f3a42025f, https://www.notion.so/1-7-flackers-sea-salt-a23e7fa53fe04c9186fc0d7b8fc80094, https://www.notion.so/0-5-serving-flackers-sea-salt-208bf9480b80454e8412ad1b70215703, https://www.notion.so/0-3-serving-flackers-90cb00ea0ca74a97994964c00542fb61","regular
$4.99 per bag →
$1.00 per serving → $0.167 per gram of protein
",$1.25 per serving,,Pantry,,,,,,,,,,"March 24, 2022 11:51 PM","December 3, 2022 12:46 AM",2.64
Flackers - Rosemary Flax Seed Crackers,"grains, protein, vegetables",8 crackers (5 servings per bag),0,"March 24, 2022 10:50 PM (CDT)",Thrive Market,"Organic flaxseeds, organic apple cider vinegar, organic rosemary, sea salt, organic sage",,"Good PS Ratio (1.5 <= x < 3), Soaked/sprouted, Staple, Stellar FS Ratio (+3), Strength: Magnesium, Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: Woman-Founded, Thrive Values: gluten-free, Thrive values: vegan, Thrive values: vegetarian, easy to digest, snacks",,10,1,9,0,160,6,10,6,Doctor in the Kitchen,,N/A,1.73,,,,10,0,4.5 oz bags,0,0,35,,0,"https://www.notion.so/1-serving-flackers-acd2458e316a458581c8e494524be02a, https://www.notion.so/1-3-serving-flackers-rosemary-556e993c598d43ae9a64d9702f8e9251, https://www.notion.so/0-5-serving-flackers-82a45f588bd348baa229bf07ad0b70d4, https://www.notion.so/1-75-serving-flackers-rosemary-3cdb32426d2044e5b51e647ede849a4d, https://www.notion.so/0-5-serving-flackers-rosemary-8cce230d8cd44a8c87e9079199657046","regular
$4.99 per bag →
$1.00 per serving → $0.167 per gram of protein
",$1.25 per serving,,Pantry,,,,,,,,,,"March 24, 2022 11:40 PM","December 3, 2022 12:46 AM",
"Poshi Steamed & Marinated Cauliflower, Salt & Black Pepper (6 oz value pack)",vegetables,2/3 cup servings - 85 g,0,"June 3, 2022 2:48 AM (CDT)",Thrive Market,,,"Poor PS Ratio (<0.8), Staple, Stellar FS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/cauliflower-f8a7eda830f54aecbec3c89d584bdf30,0,0,2,0.5,210,1,0,2,,,8,0.22,,,,4,0,Bag - 6 oz,0,0,,,,"https://www.notion.so/50-g-cauliflower-4d8c264f0d4c409390461ad20ef5fe2a, https://www.notion.so/whole-large-packet-caulflower-9e27412f5f634ecc96e55d0843f0836d, https://www.notion.so/58g-cauliflower-21388ee1feb34d7fb01a2a3cd3d87269, https://www.notion.so/caulifilower-2494ffca85e5404c9a1dc5f4177f4106",,,,Pantry,,,,,,,,,,"March 23, 2022 10:46 PM","October 17, 2022 10:58 PM",4
Poshi asparagus (6 oz value bag),vegetables,2/3 cup - 85 g,0,"July 26, 2022 7:34 AM (CDT)",Thrive Market,,,"Fiber: soluble fiber, Poor PS Ratio (<0.8), Staple, Stellar FS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/asparagus-8c0a788cecbf4233bc659d70e3d53030,0,0,2,1,210,3,4,2,,,4,0.66,,,,4,0.5,Bags - 6 oz,0,0,,,0,"https://www.notion.so/1-serving-asparagus-poshi-20e4d84dd6ef452ba16cec17742e83b1, https://www.notion.so/1-serving-asparagus-or-maybe-green-beans-01234016489440f189480f1eb86ea857, https://www.notion.so/1-serving-Poshi-asparagus-large-bag-95158660c567426cb5d45f20f6a2d58f, https://www.notion.so/1-poshi-asparagus-3c0650fb78b0490583db62eeedc0c9b5, https://www.notion.so/1-serving-asparagus-2-3-cup-poshi-143e5f5eb7884235866dba095960308b",,,,,,,,,,,,,,"March 23, 2022 10:44 PM","December 13, 2022 5:08 AM",
"[watered-down] Kirkland Signature Shelled Pistachios, 1.5 lbs","protein, vegetables",one ounce serving,0,"September 16, 2022 6:44 PM (CDT)",Costco,,0.73 (raw) and 0.81 (roasted),"Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), PDCAAS score, Staple, Staple: Always Keep Replenished, Strength: Vitamin B1, snacks","https://www.notion.so/nuts-37e254f43167465bbb5b3c5084cee45d, https://www.notion.so/pistachios-nuts-97e3f420d267449082d94eb70cb1e273",14,1.5,3,2,81,6,6,2,,,3,3.41,,,,8,0,bags,0,0,8,10,0,"https://www.notion.so/pistachios-09b05cf8f91a4d129b9bf8e1bdd3f890, https://www.notion.so/pistachios-1-of-1-5-serving-eaten-along-with-vitamin-D-gummies-17073012270244d3aa51b064cb238dab, https://www.notion.so/pistachios-4cb0598945b64f9d8dc02f7aaf248c91, https://www.notion.so/0-6-servings-pistachios-eb6011bf2d984d69886e6861d1b41ffc, https://www.notion.so/1-serving-pistachios-d972b7059fe14813bc59c48c589c5140, https://www.notion.so/watered-down-pistachios-6daaf0d894164ecea4c69bf551efd556, https://www.notion.so/1-serving-pistachios-09f0856def3c4619a03144e03532f04c, https://www.notion.so/fbd56c40d2394d6f8ddf136fff4a4ffa, https://www.notion.so/1-serving-pistachios-92116edd0e2048fd81c7989439a0abc4, https://www.notion.so/1-serving-Pistachios-bf106e0703de428dbcbacb23a006f12c, https://www.notion.so/1-serving-pistachios-9f706b32016641a1a42b615342f80da1, https://www.notion.so/4-serving-pistachios-7f534421894147d99f1fa30c5b96ee2b, https://www.notion.so/1-serving-pistachios-578888b4835e419fbc17a82cb8157a78, https://www.notion.so/1-serving-pistachios-c229e2858c3d4edd8a56e9a595319a68, https://www.notion.so/1-2-serving-pistachios-9e9bfe48740c47b0b9d56aa4a5ff5f0a, https://www.notion.so/1-serving-pistachios-38790d63c0c54687b4d922196e0e4204, https://www.notion.so/1-pistachios-ccdb8b1933604bb6932a7f704f2cff9a, https://www.notion.so/4-servings-of-pistachios-watered-down-6b9532eef9e14284b6078aea13ff798b, https://www.notion.so/1-serving-pistachios-83dd13c58885491c881843970951814d, https://www.notion.so/2-5-serving-pistachios-cf6b1663f01f4bf38c7f417bb263f986, https://www.notion.so/1-5-serving-pistachios-568322ab901a46da9ba5c585c24f1127, https://www.notion.so/1-5-serving-pistachios-watered-down-a03a60f93c8a45bd8a498ee12e71ab3d, https://www.notion.so/2-serving-pistachios-formerly-1-serving-Kirkland-d8a1215403e649d2a3d5214041547a0b, https://www.notion.so/2-serving-pistachios-formerly-1-serving-Kirkland-b2806950ea5043f9a32192ed4b9a2788, https://www.notion.so/4-4-servings-of-watered-down-pistachios-5b18c58a63d348eaad6178022b190dbf, https://www.notion.so/4-4-servings-of-watered-down-pistachios-a5f7eba481944fe7abca34209b271cb6, https://www.notion.so/2-2-servings-of-watered-down-pistachios-0-5-cups-0d1186df2f174f409018577ce77a30a1, https://www.notion.so/1-cup-64g-2-2-oz-watered-down-pistachio-f5378677c68149e68dae7cdd3143113a, https://www.notion.so/9900484d65024b019df514d4af80622e",,"Costco (Kirkland brand): $0.79125 per oz
",,,low fiber and low protein meals (increases fiber and protein content),15,,6,,,20,,4,"March 21, 2022 11:56 PM","December 3, 2022 12:36 AM",6.06
[watered-down] Simple Truth Organic® Blue Corn Tortilla Chips,"grains, vegetables",28 g / 1oz / 13 chips,0,"March 28, 2022 9:30 PM (CDT)",Kroger,"ground organic blue corn, organic sunflower oil, sea salt.","vitamin D - 0%
calcium - 20 mg - 2%
Iron - 1 mg - 6%
potassium - 0mg - 0%","Fiber: insoluble fiber, Staple, Stellar FS Ratio (+3), mediocre PS ratio (0.8 <= x < 1), non-gmo, organic, snacks",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,6,0.5,2,0,38,2,0,0,Kroger,,N/A,2.42,,,,19,0,large bags (9 servings per bag),0,0,2.57,2,0,"https://www.notion.so/tortilla-chips-update-this-day-to-account-for-change-in-Magnesium-f52be52d78e04f9c8502baeee761056f, https://www.notion.so/tortilla-chips-update-this-day-to-account-for-change-in-Magnesium-a4285c01f3814256990f22acbc350b06, https://www.notion.so/tortilla-chips-update-this-day-to-account-for-change-in-Magnesium-314f3cf13a9c45a38f6ac6b07b85ed35, https://www.notion.so/tortilla-chips-Kroger-update-this-day-to-account-for-change-in-Magnesium-0cd750f5826d48e68340462fcc01e973, https://www.notion.so/2-servings-watered-down-Kroger-tortilla-chips-update-this-day-to-account-for-change-in-Magnesium-1fbafcc34130478db2e481ce51175060",,,,,,,,,,,,,,"March 21, 2022 11:17 PM","September 27, 2022 3:04 AM",
